stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
53928,53928,Maurice-Duplessis / Fernand-Gauthier,45.626992,-73.595635,http://m.stm.info/fr/horaires/arrets/53928/bus,0,,1
53929,53929,Rita-Levi-Montalcini / Maurice-Duplessis,45.638912,-73.580486,http://m.stm.info/fr/horaires/arrets/53929/bus,0,,1
53930,53930,Cégep Marie-Victorin,45.621145,-73.607383,http://m.stm.info/fr/horaires/arrets/53930/bus,0,,1
53931,53931,Hôpital Rivière-des-Prairies (M.-Duplessis/No 7000,45.619660,-73.610240,http://m.stm.info/fr/horaires/arrets/53931/bus,0,,1
53932,53932,Saint-Jacques / No 6705,45.459056,-73.627138,http://m.stm.info/fr/horaires/arrets/53932/bus,0,,1
53933,53933,Saint-Jacques / No 6665,45.460182,-73.626448,http://m.stm.info/fr/horaires/arrets/53933/bus,0,,1
53934,53934,Saint-Jacques / No 6945,45.457484,-73.629044,http://m.stm.info/fr/horaires/arrets/53934/bus,0,,1
53935,53935,Station Vendôme,45.474210,-73.604012,http://m.stm.info/fr/horaires/arrets/53935/bus,0,,1
53936,53936,Station Vendôme,45.474018,-73.604232,http://m.stm.info/fr/horaires/arrets/53936/bus,0,,1
53937,53937,Saint-Jacques / Helen-Rochester,45.455927,-73.631702,http://m.stm.info/fr/horaires/arrets/53937/bus,0,,1
53938,53938,Saint-Jacques / Saint-Jacques,45.455321,-73.632310,http://m.stm.info/fr/horaires/arrets/53938/bus,0,,1
53939,53939,Saint-Patrick / No 3400,45.475120,-73.577172,http://m.stm.info/fr/horaires/arrets/53939/bus,0,,1
53940,53940,Saint-Patrick / No 3500,45.473805,-73.578097,http://m.stm.info/fr/horaires/arrets/53940/bus,0,,2
53941,53941,Saint-Patrick / No 3550,45.472787,-73.578996,http://m.stm.info/fr/horaires/arrets/53941/bus,0,,2
53942,53942,Saint-Patrick / No 3620,45.471659,-73.580073,http://m.stm.info/fr/horaires/arrets/53942/bus,0,,2
53943,53943,Saint-Patrick / No 3826,45.469394,-73.583441,http://m.stm.info/fr/horaires/arrets/53943/bus,0,,1
53944,53944,Côte-Saint-Luc / No 5105,45.482357,-73.620639,http://m.stm.info/fr/horaires/arrets/53944/bus,0,,1
53945,53945,Benny / Benny-Crescent,45.464372,-73.625689,http://m.stm.info/fr/horaires/arrets/53945/bus,0,,1
53946,53946,Monk / Raudot,45.448197,-73.592064,http://m.stm.info/fr/horaires/arrets/53946/bus,0,,1
53947,53947,Crémazie / De Gaspé,45.543802,-73.640554,http://m.stm.info/fr/horaires/arrets/53947/bus,0,,1
53948,53948,Crémazie / de l'Acadie,45.531275,-73.647560,http://m.stm.info/fr/horaires/arrets/53948/bus,0,,1
53949,53949,Crémazie / de l'Acadie,45.530660,-73.649867,http://m.stm.info/fr/horaires/arrets/53949/bus,0,,1
53950,53950,Collège André-Grasset,45.550066,-73.633444,http://m.stm.info/fr/horaires/arrets/53950/bus,0,,1
53951,53951,De La Vérendrye / Desmarchais,45.455323,-73.582092,http://m.stm.info/fr/horaires/arrets/53951/bus,0,,1
53952,53952,Station Jolicoeur,45.456958,-73.581489,http://m.stm.info/fr/horaires/arrets/53952/bus,0,,1
53953,53953,Station Jolicoeur (Drake / Holy Cross),45.456268,-73.582128,http://m.stm.info/fr/horaires/arrets/53953/bus,0,,1
53954,53954,Square Sir-George-Étienne-Cartier,45.474126,-73.587430,http://m.stm.info/fr/horaires/arrets/53954/bus,0,,1
53955,53955,Notre-Dame / No 6450,45.457982,-73.616014,http://m.stm.info/fr/horaires/arrets/53955/bus,0,,2
53956,53956,Notre-Dame / No 6300,45.459035,-73.614110,http://m.stm.info/fr/horaires/arrets/53956/bus,0,,2
53957,53957,Notre-Dame / No 6000,45.461221,-73.610163,http://m.stm.info/fr/horaires/arrets/53957/bus,0,,2
53958,53958,Notre-Dame / Place Turcot Ouest,45.462270,-73.608220,http://m.stm.info/fr/horaires/arrets/53958/bus,0,,2
53959,53959,Notre-Dame / Place Turcot Ouest,45.462343,-73.607788,http://m.stm.info/fr/horaires/arrets/53959/bus,0,,1
53960,53960,Notre-Dame / Monk,45.466728,-73.599894,http://m.stm.info/fr/horaires/arrets/53960/bus,0,,1
53961,53961,Notre-Dame / Monk,45.466323,-73.600306,http://m.stm.info/fr/horaires/arrets/53961/bus,0,,1
53962,53962,Notre-Dame / Gadbois,45.467739,-73.597896,http://m.stm.info/fr/horaires/arrets/53962/bus,0,,1
53963,53963,Notre-Dame / No 7600,45.450456,-73.629749,http://m.stm.info/fr/horaires/arrets/53963/bus,0,,1
53964,53964,Notre-Dame / Atco,45.450708,-73.629555,http://m.stm.info/fr/horaires/arrets/53964/bus,0,,2
53965,53965,Notre-Dame / Angrignon,45.452747,-73.625539,http://m.stm.info/fr/horaires/arrets/53965/bus,0,,2
53966,53966,Notre-Dame / Angrignon,45.452352,-73.626021,http://m.stm.info/fr/horaires/arrets/53966/bus,0,,1
